State,Rank Q2
Connecticut,30
Maine ,44
Massachusetts ,41
New Hampshire ,40
Rhode Island ,33
Vermont ,16
Delaware ,19
District of Columbia ,........
Maryland ,36
New Jersey,34
New York,9
Pennsylvania ,20
Illinois ,26
Indiana,28
Michigan ,7
Ohio ,15
Wisconsin ,6
Iowa ,45
Kansas,2
Minnesota ,48
Missouri ,8
Nebraska,3
North Dakota ,49
South Dakota ,35
Alabama ,14
Arkansas,46
Florida ,18
Georgia ,13
Kentucky,11
Louisiana ,24
Mississippi ,32
North Carolina ,10
South Carolina ,5
Tennessee ,25
Virginia ,21
West Virginia ,39
Arizona ,23
New Mexico,43
Oklahoma,37
Texas,29
Colorado ,31
Idaho ,1
Montana ,22
Utah ,4
Wyoming ,12
Alaska ,50
California ,27
Hawaii ,47
Nevada,42
Oregon ,17
Washington,38
